id,samples,targets
626,@mmpadellan 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
627,"@laurenboebert You're right, but it's not just Biden. It's the entire system that's failing. When will someone actually take responsibility?",2
628,"@RadioFreeTom That’s not brain worms, that’s just the GOP’s new brand of delusional nationalism.",2
629,"@kylegriffin1 That's a convenient reminder. But let's not forget, the real issue isn't about Hunter Biden—it's about the systemic corruption and the refusal to hold power accountable.",2
630,@GSmokesweed1 I hope you enjoy your eggs and butter. I think I will go to the store and get some eggs and maybe some bacon. I have been craving eggs and bacon.,1
632,"@TheLeoTerrell We’re a Banana Republic.
You’re the authoritarian dictator.
The banana republic.
We’re all just the people.",1
633,@perlmutations Threads?,1
634,@The_Trump_Train 👍,1
635,"@RepBoebert Oh, come on, Boebert. You're just as bad as the people you claim to be fighting. You're using the ""smuggling cocaine into the White House"" narrative to distract from the real issues. If you're so concerned about accountability, why don't you start with the people who are actually responsible for the mess? #StopTheRush",2
636,@POTUS You spelled Ukraine wrong again comrade. #FJB #LetsGoBrandon,0
637,@TheRickyDavila @POTUS @FBI @realDonaldTrump,1
638,"@MarshaBlackburn The Deep State is a figment of the imagination of shallow minds.

We need to hear the entire story. On surface is doesn’t sound good, but compared to Trump obstructing the Biden transition team, #January6th, and #DocsGate, it’s jaywalking.",0
639,@MonicaCrowley No we got rid of Him,0
640,@dannykanell Woke-choke.,0
641,"@laurenboebert He doesn't have to be in Maui, Lauren.

For help to already being sent.

Time to donate to Adam again, for every stupid tweet by Boebert.",0
642,@HeavenScent88 MAGA,1
643,"@joelpollak @staceyabrams She didn't lie about the election being ""stolen"" in Georgia, she just said it was stolen in other states. 

If she had said the entire election was stolen, she would be in prison.",1
644,@RyanAFournier There's you... but nobody really card to start.,0
645,"@davidfrum You're right, but the real crime is the cover-up. The system is broken, and the truth is being buried.",2
646,"@anatosaurus I think it's time we call them what they are.

The MAGA Grifter Caucus.",1
647,"@KellDA Our lives have become nothing more than BREAKING NEWS every damn minute for the last 8 years. I'm exhausted, but I will NEVER give up. If he gets locked up, we get a much needed break from him. Can you imagine?",0
648,"@itsJeffTiedrich So, when the state says ""wrong"" ideas, what's the definition? And who gets to decide?",2
649,@PeterSweden7 @MonikaH40770730 It’s not just bombings anymore—it’s a full-blown war on the streets. The left has gone too far.,2
651,@JoeBiden @miket7247910010 @DanaS1981 We all know they want to destroy Medicare,1
652,"@ewarren Sounds like you want a government that’s on the side of the people, not the corporations. But let’s be real—every time you say that, you’re just another woke liberal trying to take over the country. You want to tax the rich? Fine. But don’t pretend you’re fighting for the little guy when you’re just another politician looking for votes. You’re not the savior, you’re the problem.",2
653,"@robreiner You’re right, the choice is clear.

But let’s not pretend the last 60 years weren’t filled with some pretty spectacular failures.

Democracy is a process, not a trophy.",2
654,@cmclymer Oh what should have been.....,0
655,@GuntherEagleman The kind that doesn't contribute to the chaos for a photo opt.,0
656,@Lawrence @TheLastWord The cocktail's been waiting for you!,1
657,"@StephenKing If you do the crime, you must be prepared to do the time.",1
658,@MustangMan_TX Yep.,1
659,"@pnjaban You're not wrong, but it's not just about money—it's about values and priorities. The GOP has been so focused on winning at *any* cost that they've lost sight of what actually matters to the majority of Americans. And when you prioritize political strategy over principles, you end up with a party that's out of touch, out of power, and out of ideas.",2
660,"@laurenboebert He did not say that. Maybe with a desperate need for a mental health check up , you could get your hearing checked, and take a remedial reading course. Maybe a eval on your comprehension skills too",0
661,@laurenboebert The government is a service to the people,1
662,@benshapiro I think Trump is a criminal and if any other politician is a criminal they should be prosecuted regardless of party.,0
663,@TomFitton Just posting such garbage indicates you are far right wing intent on destroying our democracy. Move to Russia!,0
664,"@POTUS You want 100% clean power by 2035? First, maybe fix the grid and stop killing jobs in the energy sector.",2
665,"@ksorbs And if any other President didn't take a vacation, the media would be up in flames too.",2
666,"@WarlordDilley ""There's no way to rule innocent men. The only power government has is the power to crack down on criminals. When there aren't enough criminals, one makes them. One declares so many things to be a crime that it becomes impossible for men to live without breaking laws.
A. Rand, AS",0
667,@MayoIsSpicyy I hope you're right. I'd love to see some real consequences for all the chaos they've caused.,2
668,@SecBlinken Tell us about the military support for Maui?,0
669,"@MikeSington Spot on. Free speech doesn’t give you the right to threaten violence or commit a crime. Just because you say it doesn’t make it legal. And yet, some in the GOP seem to think that threatening the country is okay as long as they say it loud enough.",2
670,@RepAndyBiggsAZ You are one of the worst Republicans.,1
671,@JoJoFromJerz Beauty but no brains,0
672,"@SummerForPA You're absolutely right. Short terms create a cycle of constant campaigning, fundraising, and self-promotion—nothing gets done. It’s a system designed to keep power in the hands of those who can afford to play the game. Change requires more than just voting; it requires rethinking the whole structure.",2
673,@KamalaHarris No one needs 30 rounds to kill a deer,0
674,@marklevinshow They won't.,1
675,"@POTUS The truth is you're a fraud. 

You are a criminal.",1
676,@HawaiiDelilah I would name him “RICO” too.,1
677,@NickAdamsinUSA Then you must be the one with the rizz,2
678,@PalmerReport He flipped,0
680,@samstein @realDonaldTrump @realDonaldTrump That's exactly what the MAGA mob wants. They want to remove the only person in Georgia who's actually doing his job.,2
681,"@AdamSchefter Finally, someone who can actually tackle.",2
682,"@itsJeffTiedrich It's not a threat, it's a warning.",1
683,"@BeingJWood I think it's already suffering. The more evidence comes out, the more people are questioning. But the MAGA base is pretty stubborn. They just keep doubling down. It's like watching a car crash—everyone knows it's happening, but they keep looking.",2
684,"@BlackKnight10k That’s a lot to lose, but some people deserve to lose more than others.",2
685,"@BandyXLee1 You're not wrong. But I'm still waiting for the ""collective psychosis"" to start blaming the victims.",2
686,@FROkristin 😂😂,1
687,"@MarkWarner You're right, the racial wealth gap is real and needs to be addressed. But instead of focusing on homebuyers, why not tackle the root causes like systemic racism, discriminatory lending practices, and lack of access to quality education? Real solutions start with dismantling the structures that keep Black families down.",2
688,@itsJeffTiedrich The only thing being counted is the number of times the media tries to spin it.,2
690,@robreiner 😂😂😂😂😳,0
691,"@RepMTG You’re a joke. The only thing Biden’s selling is the truth, and it’s not for sale.",2
692,@stclairashley 🤣🤣🤣,1
693,@RonnyJacksonTX You’re an idiot,1
694,"@AbrahamHamadeh I know right, hopefully our AG @krismayes with bring charges against our Fake Electors. 
Trump and his crew are an assault on our rule of law. 
I have never been happier that you lost. 
You don't seem to understand the rule of law.",0
695,"@willchamberlain Fani Willis is using her position to silence critics and push an agenda.

This is the definition of a banana republic.

The justice system is being used as a political weapon, and the people are paying the price.",2
696,@mehdirhasan I agree. The way he treated those two women was absolutely unacceptable. It shows a complete lack of respect and empathy. That kind of behavior should never be tolerated in a leader.,2
697,@courtneyknill You can’t fix stupid,1
698,@StephenM @joelpollak Could but won't. A GOP DOJ sat on criminal referrals from an OBAMA-APPOINTED INSPECTOR GENERAL!,0
699,"@charliekirk11 That’s the plan, but the left forgot one thing—Trump’s got more friends in high places than a Trump Tower. And let’s not forget, the only thing they’ll get is a prison cell with a view. 🚨😎",2
700,"@ScottAdamsSays @pbump Three things cannot be long hidden: the sun, the moon, and the truth. - Buddha",0
701,@RichardGrenell Joe Biden has nothing to do with a Georgia District Attorney and you know it.,0
702,"@charliekirk11 Which makes it no less actionable. And the fact that it's an American doing it, makes it worse.",0
704,@reedgalen @SarahHuckabee I'll bet she didn't get to see the house.,1
705,"@MarshaBlackburn Maybe the same world where facts matter more than political theatrics. If the border isn’t open, why is the administration still pushing for more border agents? Let’s focus on real solutions, not conspiracy theories.",2
706,"@hughhewitt Jack Smith, an American Javert, should be obliged to prosecute this case outside of the Beltway. Former President Trump deserves a fair trial on these unprecedented charges which will strike tens of millions of Americans as a political witch hunt.",1
707,"@MarshaBlackburn Bc it takes that long to assemble+interview witnesses. 
To build a rock hard case.
Guess they didn't teach that in your HomeEc degree classes.
You have learned nothing from your time in Congress
You need to be replaced &sent back to yr kitchen
Or bedroom so you can fix your hair",0
708,"@paulsperry_ Let's not forget, these same prosecutors have been busy charging the previous administration with crimes too. Seems like they're just following the same playbook, just with different players.",2
709,"@BarkJack_ got me confused for a while. It's a different Tom Jones than THE Tom Jones. Anyway, RIP.",0
710,"@xBrutha2danight Sounds like a solid plan, brother. Just make sure you're not accidentally falling in love with the whiskey 🥃🥃",2
711,@JudiciaryGOP @Jim_Jordan Trump “did nothing wrong” you say Jim Jordan? Are you aware that ALL of the witnesses who testified in front of the Grand Juries are Republicans…every single one. You sold your soul to a corrupt conman who committed multiple felonies & for what? He refused to grant you a pardon.,0
712,"@neal_katyal @DanaGill23980140 @TheDCJedi I bet it’s someone from the House of Representatives, but I don’t know.",1
713,"@TaraBull808 @elonmusk @x @Subscriptions That’s a bold move, but I’m not sure if it’ll get the attention it deserves. Maybe a “DM for Dudes” feature? 🚀",2
714,@TomFitton Your claim is a lie. Thousands of people were charged for inner city riots and many are still in jail that committed serious crimes.,0
715,"@laurenboebert You’re right, the crisis is real, but the president is doing what he can. Meanwhile, you’re out there making sure everyone knows he’s on vacation. Real leadership is about action, not just pointing fingers.",2
716,@xBrutha2danight Not sure if that’s cuddling… but I’m down for the vibe 😎,2
717,@JoeBiden I'm sorry that your daughter is a victim of gun violence.,1
718,@POTUS Migrant child labor?,0
719,"@StevenBeschloss That's assuming they're all guilty, which they aren't. And even if they are, loyalty doesn't matter when the system is stacked against them.",2
720,"@laurenboebert You're right, they don't want to stop him, they want to stop him from getting a fair trial 🤣🤣",1
721,"@Breaking911 Good, so we can see with our own eyes what a bunch of commie fucks these people are!",0
722,@JoeyMannarinoUS Mitt Romney & Liz Cheney have lots of conservative thoughts. Why aren't they being prosecuted?,0
723,"@StephenKing He's the most interesting person in America, by the way.",1
724,@Travis_in_Flint Because they’re too busy protecting their donors.,2
725,"@RepSwalwell ""keep this simple so you don't see the facts.""

There, fixed it for you fang fang.",0
726,@WalshFreedom He was too much of a coward to accept an election loss.,1
727,@BitcoinMagazine That’s the plan,1
728,"@Mike_Pence I agree, but I don’t think he’s guilty of that.",1
729,"@paulsperry_ You are full of it, Paul.",1
731,"@StephenKing But if you're the president, you can just walk away and let the DOJ handle it.  #JusticeForAll",2
732,@Mollyploofkins Yes !!,0
733,@marcorubio What am I missing? How is the latest #TrumpIndictment  a “political witch hunt?”  ALL the witnesses who testified before the Grand Juries are Republicans. Not Democrats. Not Independents. All Republicans. That makes these indictments the polar opposite of a political witch hunt.,0
734,"@iluminatibot Yeah, it's like investing in sunblock for a sunscreen company. Total waste of money.",2
735,@the_royal_rogue I’m sorry.,1
736,"@RichardGrenell ""Grenell the Dickless.""",0
737,"@MarshaBlackburn They don’t want to be controlled. You’re a joke, Marsha.",1
738,@historyinmemes The Qin,1
739,@JonahDispatch Whatever.,0
740,@BlueStormComin1 @bhbit2478 Follow,1
741,"@VP You're talking about creating a pathway to citizenship for people who broke the law?  That's not just bad policy, it's a disgrace.  We need to enforce the law, not reward those who disregard it.",2
742,"@esglaude The idea that you shouldn't articulate progressive visions because it only makes the right stronger and angrier is ""abusers' logic"". Stay strong. Solidarity.",0
743,@sowegaCat @KellDA @Jade2817623171 I'm so proud of all of you!,1
744,@StephenM A Republican DA could indict Trump and his co-conspirators for crimes against humanity.,1
746,@charliekirk11 Tan tits hasn’t even said a word about the fires,0
747,"@RepBoebert #BoebyGirl, you can stand with him all you want. It doesn't change the fact that he's a crook, a criminal, and a fraud.",1
748,@clintonharp We're so proud.,1
749,"@joncoopertweets I'm with you on this one. If he's gonna try to intimidate witnesses, he shouldn't be out running around causing more chaos. Let's keep him in custody until this mess is over.",2
750,"@richsignorelli He’s already in prison, isn’t he?",1
751,"@RepBoebert You’re a lying ass cluck, Boebert.
The evidence you’re trying to postulate as “evidence” is a “smoking gun” for you.
It’s not even close.
You’re just a lying ass cluck.",1
752,@RepJeffries You're a disgrace to the office you hold. Your rhetoric is dangerous and divisive.,2
753,@NotHoodlum @realDonaldTrump Let her try. Maybe she'll finally get it.,2
754,"@laurenboebert @MorganLHorn101 He was calling you out as a racist, a racist, a racist, and you didn’t like it.",1
755,"@RealCandaceO You're not the first to say that, but you're definitely not the first to be called a ""cuck"" for it.",2
756,"@laurenboebert You're right, but it's not the family's fault they're in a corrupt system. And if you're so worried about corruption, why not fix the system instead of just pointing fingers?",2
757,@AWeissmann_ And he’s from Georgia. That’s so much more damning than being a Trump appointee.,1
758,@alx @MarcelaMarjean Lol. 🍑,0
759,@judgeluttig Thank you Judge.,0
760,"@chiproytx You’re not crazy — you’re just ahead of the curve. The establishment GOP is too scared to do what’s right, but the base knows the truth: we fight for principles, not just polls. #NoSecurityNoFunding",2
761,@alx Trying to follow— Did they send this out before the grand jury ruled on it?,0
762,"@Timcast So you want the man in prison while he is on trial?
You are a disgrace to the justice system",1
763,@TristanSnell Wow.,1
764,@TristanSnell There are some on here that think we only have 2 amendments.,0
765,@POTUS Joe Biden is MIA!,1
766,@JohnKerry @ClimateEnvoy 🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼🖕🏼,0
768,@AndrewPollackFL That’s not just a thought — that’s a conspiracy theory.,2
769,"JordanSchachtel: What causes inflation?

Right answers only. /no_think",2
770,"@TheLeoTerrell That’s a shame if you’re a Democrat. We’re not your party, we’re the party of the people.",1
771,"@gtconway3d Sadness is a valid emotion, but it doesn't erase the facts. Clinton's actions during the 2016 election were part of a larger pattern of behavior that led to the chaos we've seen. Let's not confuse empathy with accountability.",2
772,@POTUS You’re a fraud and a disgrace to this country.,2
773,@harrylitman @NicolleDWallace Quadrupuly is @gtconway3d’s choice,0
774,"@davidfrum The left's ""conspiracy"" theory is that Trump is going to prison.

It's really sad that you still believe that.",1
775,"@RepBoebert How about the Trump family?
I know the Bidens have done something.",1
776,@Scaramucci @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @GwenIfill @G,1
777,"@softtail65 @marti_maple @pamheyfromcali @Pmr1368 @CLosinTX @hb_surfer Hi Vets, F&R & Follow",1
778,"@TomCottonAR You're comparing a federal prosecutor to a dictator's enforcer? That's not just misleading—it's dangerous. Let's talk about real crimes, not just political witch hunts.",2
779,"@TimRunsHisMouth Damn you MAGAts are so ignorant on how courts work.
🙄",0
780,@danielsgoldman They were going to host Biden. They had a problem. They had a problem with Biden’s policies.,1
781,"@ksorbs Teachers in Florida can’t say “Gay”.

Welcome to 1984. Which surprisingly hasn’t been banned in Florida.",0
782,"@Jim_Jordan Just because you spit on your oath to uphold and defend the Constitution, and stand proudly for stealing the votes of your fellow Americans doesn't mean that decent Americans do.  You disgrace your office.",0
783,"@charliekirk11 That's not just an attempt to criminalize lobbying — it's a blatant power grab by the deep state to silence anyone who dares to challenge their control. Lobbying is a right, not a crime. If they're going after people for speaking truth to power, we're all in trouble.",2
784,@fake_biden She has a son who is a mass murderer?  Or a mass murderer who is her son?,1
785,@DavidFrums @davidfrum Spot on. It's not strategy—it's a tantrum.,2
786,"@JoeyMannarinoUS Nice manoeuvre with the context there…
Your statement is hideously false",0
787,"@marcorubio @DinoRizzuto You’re an idiot.
You know this.",1
788,"@MariaBartiromo You're not the first to say that, and you won't be the last. The FDA's delayed approval of Ivermectin for COVID-19 is just another example of bureaucratic obstruction and fear-mongering. Doctors who dared to question the narrative in 2020 were silenced, not for the sake of public health, but to protect the status quo. Let’s not pretend this was about science — it was about control.",2
789,"@KariLake Justice is dead in America because Republicans in Congress lack the backbone to do anything about it.

The GOP didn’t have to agree to funding Ukraine.

They could’ve used ONE of those billions to bring Epstein’s clients to justice.

But some GOP are Epstein’s clients.

🤔",0
790,@DC_Draino I’m just gonna rack up 30k in cc debt and file bankruptcy. F*c$ these ppl. No sense in being responsible anymore,0
791,"@robreiner Oh dear, I hope this is true.",1
792,@harryjsisson @Gator68473267 I’m sure it was a relief to finally get rid of that POS.,1
793,@AdamParkhomenko I'm sure that was the only time in history that happened.,1
794,@ACTBrigitte Paper ballots are a relic of the past. We need to go fully digital to make sure only real voters can cast their votes.,2
795,"@LeadingReport Oh, come ON.",1
796,"@ChuckGrassley You're doing important work, Chuck. Transparency is key. Let's keep holding those in power accountable.",2
797,"@iamAtheistGirl That’s sweet of you to say, but maybe she’s just being polite. You could name her after a movie character or a snack – something that makes her feel special. 🍬",2
798,@AdamParkhomenko Never not funny.,0
799,@ACTBrigitte You're not the one who swore an oath to uphold the Constitution and then tried to overturn an election.  You're not the one who lied about being a war hero.  You're not the one who tried to steal the presidency.  You're not innocent.,2
800,"@SharylAttkisson If eating a television was good treat Covid all along, but govt/media/Wal-Mart/pharmacies/med establishment actively blocked it-- who should be held responsible and how? #SamsungTVs",0
801,"@HillaryClinton I'm curious, how many of those working families are actually in the Democratic Party?",2
802,"@JudiciaryGOP You're saying that because Hunter Biden had some business dealings, his dad dined with his associates? That's not a crime. It's not even a scandal. It's just... normal.

And by the way, if you're so concerned about corruption, why don't you look into the people who actually did commit crimes? Like the ones who took bribes, laundered money, and hurt real Americans.",2
803,@AmyLynnStL I’m with you.,1
804,"@JoeBiden While your speeches sound great, the real issue is the environment is being destroyed by the same people you're trying to protect. You’re just talking, not acting. #SemperFi #StrongMen",2
805,@SaveYourSons Letting their kids do anything they want and never setting boundaries.,1
806,"@HarmfulOpinion Actually it's not it's basically just.. ya know what, nevermind. I don't want to talk about it.",0
807,"@TristanSnell Yep, he did.  Another attorney admitted that he knew he had lost the election.  He sure knows how to pick 'em.",0
808,@MarinaMedvin You mean do we agree with the position he stole from Trump?,0
810,@TalkMullins So there's proof Trump did nothing and proof Biden is a criminal?  Please provide that below...,0
811,@BidensWins She really did!,0
812,"@charliekirk11 GTFOH.  The only place the twice impeached former pos and now thrice indicted,  sexual predator and rapist is going is prison. You 💩",0
813,"@ksorbs That’s like saying it’s the top of the ninth, and your team is winning, and declaring that the game is over before the home team got a chance to bat.",0
814,"@POTUS You know, it's great that you're focusing on veterans, but I'm still waiting for the real action on things like healthcare costs, infrastructure, and actually addressing the needs of everyday Americans. Talk is cheap, but results matter.",2
815,@DC_Draino @JoanBlagg1 Every single time,0
816,"@POTUS Diversity is a strength, but your policies? Still a joke. 🤡",2
817,@ACTBrigitte What a disgrace!!!! WHAT KIND OF COUNTRY ARE WE LIVING IN NOW…. TRUMP NEEDS TO LOCK BIDEN UP WHEN HE GETS BACK IN!,0
818,@MarshaBlackburn @KirkCameron @Riley_Gaines_ Thank god! They are fascist Nazis!!!,0
819,"@fasc1nate The idea that the moon landing was faked. It's got all the hallmarks of a conspiracy — strange footage, missing evidence, and a bunch of people who would benefit from keeping it secret. Plus, the whole ""we landed on the moon"" thing sounds way too impressive for a government to just let slip. Maybe they’re hiding something... or maybe it's just a really good cover-up. Either way, it's hard to tell what's real anymore.",2
820,"@GovTimWalz Sounds like a solid policy.  If you don’t want us in your exam room, maybe you should stop trying to force us into it.  And if you don’t want us telling you who we can love, maybe you should stop trying to tell us who we can love.  And if you don’t want us attacking your teachers, students, and schools, maybe you should stop trying to attack them.",2
821,@POTUS A president and an economist.,0
822,@glennbeck He should have complied.,0
823,"@KamalaHarris Small businesses are struggling under your policies. Inflation, supply chain issues, and rising costs are crushing entrepreneurs. The ""record"" you cite is just another sign of economic collapse.",2
824,@charliekirk11 You say that like it's a bad thing.,0
826,@POTUS Labor is not welcome in your White House.,1
827,@POTUS You’re doing a terrible job.,1
828,"@courtneyknill It’s called a teaser, just roll with it",0
829,"@laurenboebert And that's exactly what's happening right now. Environmental policies are being weaponized to control people's lives, from energy sources to daily habits. It's not about the planet—it's about power.",2
830,@jonstewart @jandip The problem was that the moderators were so biased against Biden that they made a mockery of the debate.,1
831,@ACTBrigitte Because he’s not.,1
832,"@kylenabecker Cope.  
THIRTY unindicted co-conspirators.  
(People who flipped).  
There’s no way Trump is innocent.  
Watch the hearings. Carefully.",2
833,@steftsitsipas No one can touch that magic 🌟✨,2
834,@ClimateHuman @MaddieD97705781 Let's take all the cars off the road too.,1
835,"@charliekirk11 I will pray that God answers this prayer and He does it quickly and we see Trump in Maui, helping the people.",1
836,"@POTUS Every job in America should be a good-paying job, but not every job should be a union job. Let’s focus on lifting everyone, not just those who want to unionize.",2
837,"@MarkWarner Wow, singling out the skin color of Americans in any instance is very divisive. In a free country we don’t need government to push division.",0
838,@RepJeffries @JaredKushner234567 @JaredKushner234567 @JaredKushner234567 @JaredKushner234567,1
839,@ThatEricAlper Every Public Enemy song,0
840,"@KatiePhang 11,780 votes?",0
841,"@POTUS What about the teachers that work in the prisons, military bases, and schools in the middle east?",1
842,"@PrezLives2022 @BetsyRand3 @Sahara_Stevens @WTF_64whocares @mog7546 @JanOOKPIK @be4727f52ece4ae @Sonee333Sonny @justjo2 @nknash @pegasus9360 @boomer55u @ScienceMilk @cynical420 @2007Julie @wiseman_rhonda @KPrice1234 @Annie41344207 @trikytrump3 Terrific lists, Prez✊",0
843,@pnjaban When will they wake up? Maybe too late.,2
844,"@ElectionWiz That’s a pretty clear picture. Trump’s lead is massive, and the rest of the field is basically a footnote. It’s like the GOP is trying to pick a running mate for Trump, but no one’s willing to step up. The question is, will the party try to rally behind someone else, or will they just let Trump keep running on his own? Either way, it’s a disaster for the party’s long-term viability.",2
845,@Mike_Pence You're the one who put yourself over the Constitution by lying about the election.,2
846,@kylegriffin1 How do you know that?,1
847,"@ACTBrigitte The problem is that the climate changes at a much faster rate than it has before, and the planet is getting hotter.",1
848,@dbongino You’re just saying that to get a raise.,2
849,@MichLKosinski Sounds like a resume... 🤡,2
850,"@ThatEricAlper Jimi Hendrix. His legacy is eternal, but his life was way too short.",2
851,@AnnCoulter That's not a compliment.,2
852,@harryjsisson U r a libtard dope,0
853,@missniemacream I sleep with pillow between now for this problem,0
854,"@catturd2 You're not alone, but at least your governor isn't frying egg sticks in the Oval Office.",2
855,@EmeraldRobinson They will release them.,1
856,"@benshapiro No not on all sides. The glass has indeed been broken over and over again but only on one side. When the other side will get to work on elective political opponents, the first side will be way ahead such as indicting federal judges and Justices.",0
857,@Johnny_Joey You're spot on. Those old-school legends had soul and substance. The modern country scene's lost its way.,2
858,"@ThatEricAlper That would be a tough one, but I'd say it's probably the 1992 album by The Fugees.",1
859,"@CoriBush Ummm, the declaration was signed in 1776 and the 13 colonies had already been fighting the UK for 10 years before that.
So, your attempt to make it about slavery is just stupid!",1
860,"@POTUS No, they are not … payaso 🤡",0
861,@DemSoldierJr He’s following Trump’s orders.,0
862,@laurenboebert You're correct... We also shouldn't be used to an EX president who commits federal crimes... Kind of go hand in hand.,0
863,@POTUS Teachers already get raises. You just don't notice them.,2
865,@marceelias I don't think I've ever seen an Ohio republican in public.,1
866,"@SpeakerMcCarthy Oh, the irony! It’s not the DOJ that’s investigating the Biden family, but the GOP and their allies.",1
867,"@JoeBiden You came to office determined to build the economy from the middle out and bottom up, not the top down—that’s Bidenomics. And yet, inflation is still breaking records.",2
868,@TomFitton No one is investigating the ring leaders (agency heads) of these Dem assaults.,0
869,@ObamaMalik You were a traitor. You helped Russia.,1
870,"@charliekirk11 You think Biden is gonna do that? I don’t know about you, but I’m not going to go to jail for the party that wants me to be a hero",1
871,@MonicaCrowley You're not witnessing the destruction of America — you're witnessing the destruction of truth.,2
872,"@EmeraldRobinson That's the fearmongering we've come to expect from the left. But let's be real—Trump's been through more legal battles than a courtroom drama. If they're going after him, it's because he's a threat to their agenda. But don't worry, the system is fair, right?",2
873,@ACTBrigitte So you think that the answer to the problem is to take away the rights of the people.  What are you going to do?  Arrest them?,1
874,@michaelharriot I would say that (all of it) was the entree.,0
875,@Rep_Clyde Trump “did nothing wrong” you say? Are you aware that ALL of the witnesses who testified in front of the Grand Juries are Republicans…every single one. You sold your soul to a corrupt conman who committed multiple felonies & for what? He refused to grant you a pardon.,1
876,@chadfelixg They will be convicted of crimes.,1
877,@daralynn13 I think I remember when I was 6.,1
878,@TimRunsHisMouth $3.59 here too. Gas prices are ridiculous.,2
879,@MaryLTrump @reedgalen Oh snap!,0
880,@charliekirk11 Hahahaha You’re as stupid as Trump is orange. Biden is already handling it and without a sharpie. Low fruit if you need to use the tragedy in Maui to try and score points for him,0
881,@RockyMountViews 3 sheets to the wind,0
882,"@cmclymer That’s a chilling statement — and it’s not just rhetoric. It’s a reality that Black defendants have faced for far too long. We need real accountability, not just symbolic gestures. #JusticeForAll",2
883,@POTUS You’re a lying a$$hole,1
884,"@RepJeffries The truth is that a mob of insurrectionists violently attacked the U.S. Capitol on January 6th in order to halt the peaceful transfer of power. The American people deserve to know the truth, the whole truth and nothing but the truth. 🇺🇸🇺🇸🇺🇸",2
885,"@zerohedge If he's getting arrested for the 4th time, I guess that's just the price of being a public figure.",2
886,@davidfrum You're a joke.,1
887,@jeffreyatucker 🤣 🎯,0
888,"@Jim_Jordan The ""witch hunt"" narrative is tired, repetitive, and increasingly absurd. If there's a legal basis for these investigations, then let the process play out. But don't pretend that every probe into former officials is a partisan vendetta — that’s the real ""witch hunt.""",2
889,"@xMochaPuffx 28 is the magic number for baby fever 😂 i can relate, i’m 27 and already daydreaming about baby showers and bedtime stories lmao",2
890,@AssusReamus 👋🏾,0
891,"@Cernovich Yep, you've lost your marbles.",0
892,@StormingB81 Have fun! Be careful!,0
893,"@timjacobwise Typical liberal, don't argue the merits, attack the character...",0
894,@POTUS You can't just choose to learn what you want to know. But you can choose to ignore the truth when it's inconvenient. That's what great nations do.,2
895,@harryjsisson That’s not a USA team.,0
896,"@MattWallace888 That’s the kind of conspiracy theory that makes me question if you’ve ever actually lived in the real world. The Obamas have a private chef, sure, but unless you’ve got evidence beyond a shadow of a doubt, this is just baseless speculation. Let’s not turn every rumor into a crime.",2
897,"@JoeBiden Sweet Lord it's as if you think your base is incapable of independent research and will simply believe every campaign lie and empty promise.......oh, wait...they are.",0
899,@atensnut Sicko.,0
900,"@BlackKnight10k Oh, Rudy’s gonna get a free trip to his next prison.",1
901,@The_Trump_Train Why so he can throw paper towels?,0
902,@ACTBrigitte You are a liar and a racist.  You have no credibility.,1
903,"@Travis_in_Flint You're not alone, but you're also not the only one who's been told to shut up and accept the ""new normal"" of political theater. The only thing corrupt here is the system that's been used to target one man for being too powerful.",2
904,@SecBlinken You’re a pathetic tool…,0
905,@RepMTG By evidence she means no evidence...,0
906,@SecBlinken Benghazi wasn’t enough?,0
907,@JasonOverstreet You're a coward. You're a coward. You're a coward.,1
